No,제목,작성일,조회,본문
NOTICE,뉴스2데이 [인물탐구] 루마썬팅 김우화 대표 - 수많은 최초신화로 혁신적 마케팅의 위력 입증,2018.09.25,8488,"[ 인물탐구 ] 루마썬팅 김우화
대표 ② 성과 : 수많은 ‘ 최초
신화 ’ 로 혁신적 마케팅의 위력 입증 수많은 ‘최초 신화’ 쓰면서 시장을 키우고 업계 1 위 굳혀 ( 뉴스투데이 = 김성권 기자 ) 똘아이 , 돈키호테 , 이단아 , 무대뽀 , 엉뚱한 놈 , 정신
나간 놈 등…김우화 씨피에프 (CPF) 루마코리아 회장을 따르는 수많은 수식어들이다 . 루마코리아의 전신인 아코상사도 선팅과는 무관해 보이는 ‘한국의 예술이 되자’는 엉뚱한 발상에서 나왔다 . 이러한 수식어들이 꼬리표처럼 따라 붙을 정도로 김 회장은 선팅 업계에서 수많은
‘최초 신화’를 작성했다 . 그 최초 신화야말로 미약한 후발주자가 시장의 파이 자체를 확대하면서
확고부동한 업계 1 위로 자리매김하는 핵심적인 동력이었다 . 자동차 선팅에 브랜드를 입혔고 , TV 광고를 내보낸 것도 업계 최초였다 . 김 회장은 ‘장사하지 말고 마케팅하라’는 말을 입에 달고 다닌다 . 단순히
물건을 많이 팔아 매출을 올리기보단 물건의 가치를 파는 마케팅 경영이 시장에서의 승패를 좌우한다고 판단한 것이다 . 따라서 루마썬팅이라는 업계 1 위의 기업을 배출한 것 못지않게 혁신적 마케팅의 위력을 입증한
것이 김 회장이 거둔 중요한 성과로 평가된다 . 중략~ 원문보러가기 http://www.news2day.co.kr/111255"
NOTICE,뉴스2데이 [인물탐구] 루마틴팅 김우화 대표 - 썬팅업계를 뒤집은 역발상의 승부사,2018.09.23,8401,"[인물탐구] 루마윈도틴팅 김우화 대표 ① 경력: 삼성전자 나와 썬팅업계를 뒤집은 역발상의 승부사 선팅 산업을 창조한 김우화 회장, 4시간의 인터뷰 통해 삶과 희망 그리고 성공을 논해 (뉴스투데이=김성권 기자) 자동차 운전자에게 차량 선팅은 필수적이지만 으레 자동차 출고 시 딜러가 소비자에게 제공하는 부가적인 서비스에 불과했다. “루마에 가면~”, “거봐~ 루마썬팅하길 잘했지!”라는 TV광고 카피가 등장하기 전까지만 했어도 그랬다. 우리나라 선팅필름 업계 1위 기업인 씨피에프(CPF) 루마코리아의 김우화 회장도 필름의 ‘필’자도 몰랐다고 한다. 김 회장은 자동차에 필름을 바른다는 개념조차 없었던 1990년 초반 덜컥 썬팅필름업계에 뛰어들었다. 이후 업계에서 ‘똘아이’ ‘이단아’ ‘돈키호테’ ‘엉뚱한 놈’ ‘정신 나간 놈’이라는 소리를 들으면서 주목을 받기 시작했다. 동시에 ‘루마썬팅’이라는 브랜드가 대중들에게 각인됐다. 한국에서 자동차 선팅 자체가 산업으로 자리잡은 건 김 회장의 ‘마케팅’에서 비롯됐다. 후발주자로 레드오션 시장에 뛰어들었지만 업계 1위로 올라서는 데는 불과 4년밖에 걸리지 않았다. 그가 ‘마케팅의 신’으로 불리는 이유다. 선팅 필름과는 전혀 무관했던 그가 루마썬팅의 회장까지 올라선 계기는 잘 다니던 삼성전자를 뿌리치고 나와서부터였다. 김 회장은 지난 달 28일 루마코리아 사옥에서 기자와 무려 4시간 동안 인터뷰를 가졌다. 장시간 진행된 인터뷰 내내 지친 모습없이 열정적으로 삶의 역정과 꿈 그리고 성공에 대해 논했다. 김 회장은 일류기업인 삼성전자에서 나와 사업에 뛰어든 이유에 대해 솔직하게 답변했다. “가난에 찌들어 살던 어린 시절 우연히 검은 지프에 탄 국회의원이 지라시를 뿌리는 모습이 멋져보여 국회의원이 되고 싶었다. 국회의원이 되려면 능력이 있거나 돈이 많아야 한다고 생각했고, 우선 돈버는 것을 목표로 삼게 됐다” 중략~ 원문보러가기(뉴스2데이) http://www.news2day.co.kr/110357"
NOTICE,[인터뷰기사] 문화일보 골프와 나에 소개된 루마코리아 김우화 대표이사,2018.01.23,8684,"문화일보, 스포츠 - 골프와 나에 소개된 루마코리아 김우화 대표이사 ‘ 선팅 神話 ’ 처럼 5 년만에 언더파 … “ 빈스윙 체크가 실력향상 비결 ” 건강 위해 30 代 초반 골프 시작 독학 1 년여 만에 70 대 打 진입 홀인원 지금까지 4 차례나 경험 KPGA 시니어투어 5 년 후원도 자동차 선팅에 첫 브랜드 도입 연 15 만대 … 27 년간 정상 유지 私財 로 복지재단 15 년째 운영 “ 골프도 일도 똑소리 나야 정상 ” ‘ 루마썬팅 ’ 신화를 일군 김우화 (71) 씨피에프 루마코리아 ㈜ 회장은 마케팅 전도사다 . 2015 년 펴낸 저서 ‘ 나는 어떻게 1 등 브랜드를 만들었는가 ’ 를 통해 “ 개성상인들이 장사는 잘했지만 , 삼성전자나 현대자동차가 될 수 없었던 것은 장사와 마케팅의 차이에서 찾을 수 있다 ” 며 장사하지 말고 마케팅하라는 메시지를 전달하고 있다 . 김 회장은 최근 경기 하남시에 새 사옥을 마련하고 제 2 의 도약을 선언했다 . 새 사옥은 서울 강동구 올림픽공원과 하남시 초입의 외부순환도로 진입로를 지척에 두고 있다 . 지난 6 일 새 사옥 집무실에서 만난 김 회장은 “ 매년 신년은 경북 문경의 미오림 복지재단에서 시작한다 ” 고 귀띔했다 . 신년 사업 구상 발표와 함께 전국 9 개 루마 총판이 마련한 ‘ 사랑의 기금 ’ 전달식 , 그리고 복지재단 시설 견학을 진행했다 . 미오림 복지재단은 김 회장이 나눔을 실천하기 위해 2003 년 9 월 사재를 털어 설립했다 . 김 회장은 노인들을 위한 안락한 요양시설 , 사회 적응이 어려운 장애인을 위한 사회복지사업을 15 년째 펼치고 있다 . 김 회장의 골프 구력은 40 년 가까이 된다 . 김 회장은 삼성전자에 재직하던 1980 년 골프채를 처음 잡았다 . 비즈니스가 아닌 몸 관리를 위해서 골프에 입문했다 . 30 대 초반부터 건강에 신경 쓴 건 1973 년 수술 때문 . 병원에서 쓸개에 이상이 생겼다는 진단을 받았다 . 발병 원인도 몰랐다 . 담석이 생긴 것도 아닌데 구멍이 났고 검사를 해도 뚜렷한 원인을 알 수 없었던 것 . 김 회장은 “ 병명을 찾아내기 힘들었던 시절이었는데 , 참 운이 좋았다 ” 고 말했다 . 김 회장이 해온 모든 일이 그렇듯이 골프 역시 똑소리가 났다 . 골프 구력 5 년이 안 돼 4 언더파 68 타라는 놀라운 스코어를 남겼다 . 실력이 아깝다며 클럽챔피언전이나 아마고수대회에 참가하라는 권유를 많이 받았지만 다 뿌리쳤다 . 김 회장은 “ 골프는 건강을 위해서 하는 운동 ” 이라며 “ 딴생각을 하게 되면 건강에 도움이 되는 운동이 아닌 도구가 된다 ” 고 설명했다 . 원문보러가기 http://sports.news.naver.com/golf/news/read.nhn?oid=021&aid=0002339775"
7,루마필름!! 2007한국건축산업대전 전시회참가,2007.10.15,5373,"건축의 진화, 건축속의 사람""""이라는 주제로 열린 
2007한국건축산업대전에 루마필름이 참가하였습니다..

건축최고전문가인 건축사들의 단체인 대한건축사협회가 주최하는 
국내유일의 건축전문산업전시회에 참여함으로써 
명실상부한 명품으로의 면모를 유감없이 보여드렸습니다.

자동차용 윈도필름의 명성 그대로 이번 전시회에 참여함으로써
건축용 시장에 교두보를 마련하였습니다.

이젠 건축용필름도 루마필름입니다.
성원에 감사드립니다."
6,명품썬팅!! 루마 여름휴가 이벤트,2007.07.25,5463,"세계적인 품질의 루마윈도필름은 루마필름 전문시공점 110호점 돌파를 기념해 
멤버십 고객을 위한 여름휴가 이벤트를 실시한다.
루마윈도필름으로 시공한 고객을 대상으로
루마홈페이지에서 회원으로 가입한 고객 중 
추첨을 통해 무료민박 숙박권과 사은품을 선물하며
루마홈페이지를 통해 신청을 받을 예정이다.

자세한 내용은 루마홈페이지(www.llumar.co.kr) 공지사항 참고"
5,2007LLumar Annual Conference/루마! 제2도약선언,2007.01.19,5825,"국내최대 윈도우틴팅 전문업체인 루마썬팅필름(씨피에프코리아)은 지난 1월9일 서울올림픽파크텔에서 '2007루마전문점 전국모임/LLumar Annual Conference'을 개최하였습니다

본 행사는 루마썬팅필름협력업체관계자와 전국 루마점 점장 등이 참석하였으며, 루마점의 사명선서에 이어 2006년 사업결산보고,  2006루마시상/LLumar AWARDS 2006, 2007년 사업추진설명회와 함께 2007비전선포식이 열렸습니다.

2006년 주요사업실적으로 인터넷마케팅활성화를 위한 전국 루마점 통합 홈페이지시스템 구축, 
유사품방지와 품질관리를 위한 지능형 필름인식마크 도입, 
업계최초 인터넷보증인증제 실시를 들 수 있습니다. 
특히 인터넷보증인증제는 유사품의 불법유통차단과 엄격한 품질관리가 가능해졌으며  
고객관리를 통해 고객신뢰를 높여주는 선진화된 경영기법으로 고객에게 다가가고 있습니다.  
특히 2006년에는 부산국제모토쇼와 국내최대 튜닝전시회인 서울오토살롱 등 8건의 
자동차전시회 참가와 각종 매체를 이용한 광고 선전활동이 있었습니다.

2007년 사업추진설명에서는 루마1개 지점당 1일시공2대, 1일매출30을 달성하자는 의미의 
작전명 '루비1230/(루비는 루마의 비전 줄임말)'의 루마비전 선포식과 함께 
2007년 주요행사와 일정에 대한 내용이 발표되었습니다.
2007년 주요일정으로는 자동차전시회참가와 신상품런칭을 위한 
루마필름체험단 모집과 같은 고객참여 이벤트를 실시할 예정입니다.

본 행사에서 김우화사장님은 기념사를 통해 2007년을 도약과 성장의 원년으로 삼고 
본사와 루마점간의 유기적인 업무협조를 통해 가치와 품격이 있는 조직, 
신뢰와 화합하는 조직을 만들어 고객만족을 실천하기 위해 변화와 혁신을 실천해 나갈것을 
당부하셨습니다.
한편 행사에 참여한 전국루마점대표 조병식점장(대전 중구점)은 축사에서 
제2의 전성기를 맞이하고 있는 루마는 본사와 전문점간 신뢰와 협조를 바탕으로 
공동운명체라는 인식과 함께 윈윈전략으로 함께 나아갈 것을 다짐하였습니다.

루마필름은 세계최대의 윈도우필름 제조원인 미국 씨피필름사의 윈도우필름 브랜드이며 
국내에는 2002년 루마한국총판인 씨피에프코리아를 통해 처음 선 보였으며 
국내최초로 썬팅전문점시대의 장을 열어 전문화되고 차별화된 서비스로 
국내최고의 썬팅브랜드로 힘차게 도약하고 있습니다.

루마필름은 2002년 1월 국내최초 서울에 1호점을 시작한 이래 최근에 대전서구갈마점 개설을 즈음하여 현재 서울 11개점, 경기 14개점, 충청강원권 14개점, 전남북 제주권 16개점, 부산경남권 20개점, 대구경북권 19개점 등 총 94개 루마지정 썬팅전문점을 개설하여 운영하고 있으며 썬팅업계의 새로운 블루오션의 장을 열어가고 있습니다.
전국에 구축된 인프라를 기반으로 루마점의 매출극대화를 위한 다양한 프로그램으로 
사업영역을 확대하여 루마점에게 보다 다양한 사업기회를 제공하고자 노력하고 있으며, 
루마전문점의 전산화작업과 홈페이지제공, 인터넷보증시스템 등 각종 특화된 첨단 서비스를 
제공함으로써 성공을 위한 비즈니스파트너로서의 역할을 다하고 있습니다.
또한 고객만족을 뛰어넘어 고객감동을 실천하고 올바른 사업문화의 정착을 위하여 
내부감찰시스템을 도입실시하여 소비자 피해방지와 루마점의 권익보호, 건전시장육성을 위한 
역할을 충실히 수행하고 있습니다.

루마전문점의 주요 취급 제품으로는 세계최고품질의 하이테크놀로지의 매스티지 루마스타, 
나노테크놀로지의 윈쿨 앤 피너쿨, 슈퍼테크놀로지의 럭셔리 슈퍼럭스, 여성운전자를 위한 여성전용 센스퀸, 안전보안용 루마매그넘 이 있으며,  다양한 제품군으로 고객의 니즈를 충족시키고 있습니다.

제2의 도약을 선언한 루마필름!!

무궁한 발전을 기원합니다.
감사합니다."
4,군산국제자동차엑스포참가,2006.09.24,5285,"세계적인 품질의 루마필름이 2006군산국제자동차엑스포에 전시참가하였습니다.
전시회를 관람해주신 고객님께 감사드립니다."
3,자동차신문광고,2006.09.21,5692,한경자동차신문광고(9단)
2,한경자동차신문 기사안내,2006.08.26,5393,한경자동차 신문기사 보러가기
1,매일경제TV 인터뷰,2006.08.26,4907,매일경제TV 인터뷰 스틸컷
